,0
0,2.948688
1,2.938365
2,2.9025269
3,2.948688
4,2.9730015
5,2.5884757
6,2.1754093
7,2.0108767
8,2.9185352
9,2.3530688
10,2.4058876
11,2.9577556
12,2.3530688
13,2.944274
14,2.944274
15,2.4086847
16,2.9531355
17,2.9677808
18,2.9801757
19,2.9577556
20,2.4058876
21,2.944274
22,2.948688
23,2.9172606
24,2.2374907
25,2.4488564
26,2.938365
27,2.5566382
28,2.3530688
29,2.3530688
30,2.938365
31,2.2969265
32,2.948688
33,2.870744
34,2.2751334
35,2.9745653
36,0.68129694
37,2.944274
38,2.9438007
39,2.3530688
40,2.9106336
41,2.949253
42,2.938365
43,2.977304
44,2.4086847
45,2.960857
46,2.8282957
47,2.4058876
48,0.68129694
49,2.5227919
50,2.9641838
51,0.68129694
52,2.5227919
53,2.944274
54,2.948688
55,2.3530688
56,2.9641838
57,2.9323518
58,2.4058876
59,2.944274
60,2.9641838
61,0.68129694
62,2.960857
63,2.9388165
64,2.938365
65,2.4086847
66,0.68129694
67,2.944274
68,2.5566382
69,2.938365
70,2.8821263
71,2.2969265
72,2.5884757
73,2.4488564
74,2.3530688
75,2.9471521
76,2.870744
77,2.9106336
78,2.4086847
79,2.957182
80,2.938365
81,2.4086847
82,2.9677808
83,2.2374907
84,2.4488564
85,2.9652774
86,2.944274
87,2.9614153
88,2.9537158
89,2.1731224
90,0.68129694
91,2.366343
92,2.957182
93,2.4058876
94,2.5227919
95,2.4086847
96,2.9438007
97,2.9423137
98,2.366343
99,2.9388165
100,2.9438007
101,2.3530688
102,0.68129694
103,2.8826704
104,2.9388165
105,2.949253
106,2.9537158
107,2.9537158
108,2.9262874
109,2.4058876
110,2.2969265
111,2.938365
112,2.7199564
113,2.9537158
114,2.2263184
115,2.9730015
116,2.9537158
117,2.9641838
118,2.957182
119,2.4868803
120,2.1224706
121,2.4086847
122,2.2969265
123,0.68129694
124,2.366343
125,2.1754093
126,2.2969265
127,2.1731226
128,2.948688
129,2.948688
130,2.4488564
131,2.948688
132,2.9577556
133,0.68129694
134,2.9388165
135,2.9111972
136,2.976592
137,2.9438007
138,2.366343
139,2.960857
140,2.4488564
141,2.9705253
142,2.9537158
143,0.68129694
144,2.4488564
145,2.938365
146,2.9817579
147,2.5566382
148,2.9323518
149,0.68129694
150,2.9496193
151,2.5884757
152,2.9244483
153,2.9671679
154,2.4058876
155,0.68129694
156,2.957182
157,0.68129694
158,2.3530688
159,2.4086847
160,2.938365
161,2.9369147
162,2.9317844
163,2.9172606
164,2.3530688
165,2.9817579
166,2.9730015
167,2.9377146
168,2.4086847
169,2.2969265
170,2.9869008
171,2.9323518
172,2.9752457
173,2.925756
174,2.5884757
175,2.938365
176,2.949253
177,2.9837344
178,2.4488564
179,2.9577556
180,2.9438007
181,2.3530688
182,2.8713384
183,2.9317844
184,2.1224706
185,2.4868803
186,2.938365
187,2.9438007
188,2.949253
189,2.4488564
190,2.366343
191,2.9438007
192,2.4488564
193,2.4488564
194,2.949253
195,2.5884757
196,2.4086847
197,2.9614153
198,0.68129694
199,2.9614153
200,2.957182
201,2.960857
202,2.9328368
203,2.2969265
204,2.949253
205,2.960857
206,2.9745653
207,2.3530688
208,2.9025269
209,2.949253
210,2.4488564
211,2.3218231
212,2.8925438
213,2.94801
214,2.944274
215,2.9496193
216,2.4488564
217,2.9647555
218,2.9531355
219,2.4488564
220,2.3530688
221,2.957182
222,2.9438007
223,2.972362
224,2.9531355
225,0.68129694
226,2.9577556
227,2.9244483
228,2.3530688
229,2.9862294
230,2.7412527
231,0.68129694
232,2.8821263
233,2.4488564
234,2.4488564
235,2.949253
236,2.3530688
237,2.4058876
238,2.9323518
239,2.925756
240,2.4058876
241,2.3530688
242,2.2969265
243,2.9317844
244,0.68129694
245,2.957182
246,2.4086847
247,2.8691244
248,2.949253
249,2.366343
250,2.944274
251,2.4058876
252,2.4488564
253,2.3530688
254,2.2969265
255,2.9442742
256,0.68129694
257,2.881387
258,2.944274
259,2.944274
260,2.9179497
261,2.960857
262,2.9801757
263,2.4488564
264,2.8254948
265,2.4488564
266,2.9244483
267,0.68129694
268,2.3530688
269,2.5566382
270,2.948688
271,0.68129694
272,2.938365
273,2.5884757
274,2.9369147
275,0.68129694
276,2.9614153
277,0.68129694
278,2.870744
279,2.4488564
280,2.4058876
281,2.9262874
282,2.366343
283,2.8583167
284,2.944274
285,2.2969265
286,0.68129694
287,2.94801
288,2.9752457
289,2.3530688
290,2.938365
291,2.9515078
292,0.68129694
293,2.2751334
294,2.9677808
295,2.7412527
296,2.938365
297,2.938365
298,2.957182
299,0.68129694
300,2.9641838
301,2.9817579
302,2.2969265
303,2.4086847
304,2.9438007
305,2.9309633
306,2.1731224
307,2.2969265
308,2.9537158
309,2.5566382
310,2.0108767
311,2.960857
312,2.9555047
313,2.9388165
314,2.9577556
315,2.9850335
316,2.9323518
317,2.6183681
318,2.957182
319,2.938365
320,2.8583167
321,2.4058876
322,2.9251976
323,2.4868803
324,2.9323518
325,2.9745653
326,2.9850335
327,2.4488564
328,2.944274
329,2.957182
330,2.9698906
331,2.9388165
332,0.68129694
333,2.3530688
334,2.944274
335,2.4488564
336,2.2969265
337,2.9647555
338,2.3530688
339,2.3530688
340,0.68129694
341,2.9388165
342,2.4058876
343,2.944274
344,2.948688
345,0.68129694
346,2.9317844
347,2.9577556
348,2.9537158
349,1.9524615
350,2.366343
351,2.4086847
352,2.9438007
353,2.1731224
354,2.944274
355,2.4086847
356,2.6463857
357,2.4086847
358,2.4086847
359,2.1731224
360,2.949253
361,2.4086847
362,2.4086847
363,2.9641838
364,2.949253
365,2.9614153
366,2.0675902
367,2.944274
368,2.4488564
369,2.949253
370,2.9309633
371,2.9614153
372,2.944274
373,2.9323518
374,2.9106336
375,2.9791238
376,2.948688
377,2.9671679
378,0.68129694
379,2.9323518
380,2.3530688
381,2.9388165
382,2.949253
383,2.3530688
384,0.68129694
385,2.9577556
386,2.949253
387,2.4086847
388,2.2969265
389,0.68129694
390,2.2374907
391,2.9323518
392,2.949253
393,2.4058876
394,2.9531355
395,2.4086847
396,2.972362
397,2.9309633
398,2.9614153
399,2.944274
400,2.960857
401,2.9309633
402,2.9244483
403,2.9784577
404,2.9537158
405,2.9537158
406,2.9614153
407,2.3530688
408,2.960857
409,2.9323518
410,2.9388165
411,2.949253
412,2.948688
413,2.9837344
414,2.9244483
415,2.964755
416,2.4488564
417,2.938365
418,2.3530688
419,2.4086847
420,0.68129694
421,2.9323518
422,0.68129694
423,2.4058876
424,2.948688
425,2.944274
426,1.9524615
427,2.949253
428,2.9328368
429,2.9555047
430,2.9698906
431,2.4488564
432,2.9179497
433,2.3530688
434,2.9172606
435,2.9614153
436,2.1731224
437,0.68129694
438,2.9614153
439,2.6183681
440,2.9251976
441,2.9671679
442,2.9111972
443,2.9377146
444,2.9328368
445,2.9438007
446,2.2374907
447,2.9807897
448,2.9323518
449,2.938365
450,2.9019914
451,2.944274
452,2.9309633
453,2.9369147
454,2.9641838
455,0.68129694
456,2.9309633
457,2.8713384
458,2.944274
459,2.94801
460,2.3530688
461,2.9317844
462,2.948688
463,2.9850335
464,2.8713384
465,2.4086847
466,2.9438007
467,2.9438007
468,2.938365
469,2.870744
470,0.68129694
471,2.1224706
472,2.3530688
473,2.948688
474,2.938365
475,0.68129694
476,2.925756
477,0.68129694
478,2.8821263
479,2.9438007
480,2.9438007
481,2.9323518
482,2.949253
483,0.68129694
484,2.9328368
485,0.68129694
486,2.9537158
487,0.68129694
488,2.9677808
489,2.3530688
490,2.9577556
491,2.2374907
492,2.957182
493,2.366343
494,2.949253
495,2.2969265
496,2.9647555
497,2.9537158
498,2.5884757
499,2.9438007
500,0.68129694
501,2.8583167
502,2.9317844
503,2.4488564
504,2.9555047
505,2.4488564
506,2.9438007
507,0.68129694
508,2.948688
509,2.2969265
510,2.9388165
511,2.938365
512,2.9614153
513,2.4086847
514,2.2263184
515,2.9244483
516,2.9377146
517,2.938365
518,2.949253
519,2.957182
520,2.977304
521,2.3530688
522,2.3530688
523,2.9641838
524,2.9791238
525,2.9537158
526,2.9698906
527,2.9388165
528,2.9641838
529,2.4488564
530,2.9537158
531,0.68129694
532,2.944274
533,2.9191167
534,2.9647555
535,2.9438007
536,2.960857
537,2.9438007
538,0.68129694
539,2.9388165
540,2.4488564
541,2.944274
542,2.938365
543,2.2969265
544,2.949253
545,2.4058876
546,2.9317844
547,2.4058876
548,2.9745653
549,2.2969265
550,2.9019914
551,2.960857
552,2.948688
553,0.68129694
554,0.68129694
555,2.366343
556,2.8713384
557,2.3530688
558,2.9752457
559,2.9873018
560,2.3530688
561,2.9388165
562,2.1224706
563,2.944274
564,2.4488564
565,2.9537158
566,2.5227919
567,2.9438007
568,2.4086847
569,0.68129694
570,2.4488564
571,2.857665
572,2.9770756
573,0.68129694
574,2.9641838
575,2.9614153
576,2.949253
577,2.3530688
578,2.4086847
579,2.944274
580,2.3218231
581,0.68129694
582,2.960857
583,0.68129694
584,2.9438007
585,2.9438007
586,2.5884757
587,2.949253
588,2.2263184
589,2.9614153
590,2.3530688
591,2.944274
592,2.9641838
593,2.2969265
594,2.8713384
595,2.9791238
596,2.944274
597,2.9647555
598,2.9555047
599,2.9388165
600,2.960857
601,2.4488564
602,2.3530688
603,2.9438007
604,2.8583167
605,2.938365
606,2.4058876
607,2.9185352
608,2.9388165
609,1.9524615
610,2.9377146
611,2.949253
612,2.1731224
613,2.944274
614,0.68129694
615,0.68129694
616,2.957182
617,2.3530688
618,0.68129694
619,2.3530688
620,2.9388165
621,0.68129694
622,0.68129694
623,2.944274
624,2.9647555
625,0.68129694
626,2.2969265
627,2.944274
628,2.9647555
629,2.938365
630,0.68129694
631,2.9577556
632,2.944274
633,2.4086847
634,2.9801757
635,2.9323518
636,2.3530688
637,2.4058876
638,2.94801
639,2.4488564
640,2.9328368
641,2.949253
642,2.5227919
643,2.4086847
644,2.9614153
645,2.9005716
646,2.4058876
647,2.9577556
648,2.9789119
649,0.68129694
650,2.9369147
651,0.68129694
652,2.960857
653,2.9801757
654,2.366343
655,2.0108767
656,2.9791238
657,0.68129694
658,2.4058876
659,2.4058876
660,2.949253
661,2.6726038
662,2.8691244
663,2.3530688
664,2.9537158
665,2.949253
666,0.68129694
667,2.4488564
668,2.925756
669,2.9323518
670,2.9111972
671,2.982323
672,2.8821263
673,2.9317844
674,2.9531355
675,2.8583167
676,0.68129694
677,2.944274
678,2.8826704
679,2.944274
680,2.9093041
681,0.68129694
682,2.9309633
683,1.9524615
684,0.68129694
685,2.2969265
686,2.9244483
687,2.2751334
688,0.68129694
689,2.3530688
690,2.9388165
691,2.4868803
692,0.68129694
693,2.9323518
694,2.949253
695,0.68129694
696,2.9647555
697,2.8930414
698,2.5227919
699,2.9677808
700,2.5227919
701,2.3530688
702,2.9262874
703,2.2969265
704,2.2969265
705,2.949253
706,2.9531355
707,2.957182
708,2.9801757
709,2.9832146
710,2.949253
711,2.9647555
712,2.909993
713,2.949253
714,2.9438007
715,2.3530688
716,2.9317844
717,1.9524615
718,2.9388165
719,2.9438007
720,0.68129694
721,2.9317844
722,0.68129694
723,2.870744
724,2.3530688
725,0.68129694
726,2.8583167
727,2.9106336
728,0.68129694
729,2.938365
730,2.949253
731,2.5566382
732,2.2969265
733,2.938365
734,2.4488564
735,2.9323516
736,2.944274
737,2.9244483
738,2.949253
739,2.957182
740,2.0108767
741,2.2969265
742,2.944274
743,2.949253
744,2.9698906
745,2.9577556
746,2.9577556
747,0.68129694
748,2.2751334
749,2.944274
750,2.9524667
751,2.9750814
752,2.9817579
753,2.366343
754,2.9677808
755,2.3530688
756,2.9438007
757,2.9537158
758,2.9438007
759,2.9388165
760,0.68129694
761,2.9677808
762,2.9577556
763,2.9438007
764,0.68129694
765,2.9244483
766,2.9388165
767,0.68129694
768,2.5566382
769,0.68129694
770,2.9614153
771,2.9328368
772,2.944274
773,2.944274
774,2.9845562
775,2.9185352
776,2.9244483
777,2.3530688
778,2.9438007
779,0.68129694
780,2.1731224
781,2.366343
782,2.9471521
783,2.957182
784,2.9317844
785,2.3530688
786,0.68129694
787,2.9752457
788,0.68129694
789,2.3530688
790,2.4058876
791,2.9438007
792,0.68129694
793,2.9309633
794,2.949253
795,2.9671679
796,2.938365
797,2.3530688
798,2.3530688
799,2.957756
800,2.972362
801,2.4058876
802,2.9172606
803,2.9652774
804,2.4058876
805,2.9677808
806,2.366343
807,2.4488564
808,2.977304
809,2.4086847
810,0.68129694
811,2.3530688
812,2.9745653
813,2.9577556
814,2.944274
815,2.2969265
816,2.3530688
817,2.9244483
818,2.9388165
819,0.68129694
820,2.9377146
821,2.9438007
822,2.8282957
823,2.9323518
824,2.4086847
825,2.4488564
826,2.9537158
827,0.68129694
828,2.9614153
829,0.68129694
830,2.960857
831,2.9369147
832,2.9817579
833,2.9671679
834,2.9537158
835,2.944274
836,2.8925438
837,2.9111972
838,2.9641838
839,2.9577556
840,2.4488564
841,2.0108767
842,2.4086847
843,2.960857
844,2.9388165
845,2.4488564
846,2.9019914
847,2.8713384
848,2.9377146
849,2.4086847
850,2.8930414
851,2.9677808
852,0.68129694
853,0.68129694
854,2.944274
855,2.5566382
856,2.9244483
857,2.9244483
858,2.9647555
859,0.68129694
860,2.938365
861,2.9647555
862,2.3530688
863,2.938365
864,2.3530688
865,2.8917782
866,2.925756
867,2.976592
868,2.4058876
869,2.9641838
870,2.3530688
871,0.68129694
872,2.9185352
873,0.68129694
874,0.68129694
875,2.9251976
876,0.68129694
877,2.949253
878,2.9323518
879,0.68129694
880,0.68129694
881,2.9750814
882,2.9323518
883,2.9244483
884,2.944274
885,2.976592
886,2.957182
887,2.9423137
888,2.9791238
889,2.366343
890,2.9647555
891,2.9647555
892,2.5566382
893,2.9677808
894,0.68129694
895,0.68129694
896,2.9801757
897,2.9614153
898,2.9111972
899,1.9524615
900,0.68129694
901,2.9614153
902,2.2374907
903,2.4488564
904,2.9438007
905,2.938365
906,2.0675902
907,2.949253
908,2.3530688
909,2.4086847
910,2.944274
911,2.4488564
912,2.4058876
913,2.948688
914,2.9328368
915,2.4086847
916,2.3530688
917,2.4058876
918,2.4058876
919,2.948688
920,2.9857907
921,2.9244483
922,2.944274
923,2.9647555
924,2.9531355
925,2.6183681
926,2.2969265
927,2.960857
928,2.8713384
929,0.68129694
930,2.3530688
931,2.4488564
932,2.2969265
933,2.957182
934,2.9191167
935,2.4488564
936,0.68129694
937,2.948688
938,2.4868803
939,2.9555047
940,2.4058876
941,0.68129694
942,2.9438007
943,2.3530688
944,2.9244483
945,2.949253
946,2.9019914
947,2.3530688
948,2.9025269
949,2.9698906
950,2.1731224
951,2.3530688
952,2.4488564
953,2.4058876
954,2.9577556
955,2.9309633
956,2.9614153
957,2.944274
958,2.938365
959,2.2969265
960,2.9537158
961,2.9172606
962,2.3530688
963,2.9614153
964,2.2374907
965,2.9730015
966,2.9111972
967,2.4488564
968,2.9671679
969,2.938365
970,2.989684
971,2.4086847
972,2.9862294
973,2.9671679
974,2.3530688
975,2.960857
976,2.9438007
977,2.9850335
978,2.4488564
979,2.3530688
980,2.9388165
981,2.9647555
982,2.9309633
983,2.3530688
984,0.68129694
985,2.4086847
986,2.94801
987,2.938365
988,2.9537158
989,2.949253
990,2.972362
991,2.960857
992,2.366343
993,0.68129694
994,0.68129694
995,2.4488564
996,2.938365
997,0.68129694
998,0.68129694
999,2.9537158
1000,2.3530688
1001,2.8282957
1002,2.9671679
1003,0.68129694
1004,2.938365
1005,0.68129694
1006,2.3530688
1007,2.5566382
1008,2.944274
1009,2.9647555
1010,2.9471521
1011,0.68129694
1012,0.68129694
1013,0.68129694
1014,2.3530688
1015,2.3218231
1016,0.68129694
1017,2.944274
1018,2.4488564
1019,2.4868803
1020,2.944274
1021,2.4086847
1022,2.9641838
1023,0.68129694
1024,2.9185352
1025,2.9438007
1026,2.938365
1027,0.68129694
1028,2.6183681
1029,2.9423137
1030,2.6726038
1031,2.5566382
1032,0.68129694
1033,2.9251976
1034,2.4058876
1035,2.944274
1036,2.9641838
1037,0.68129694
1038,2.2969265
1039,2.9388165
1040,2.3530688
1041,2.959033
1042,2.2969265
1043,2.8583167
1044,2.9317844
1045,0.68129694
1046,2.870744
1047,2.5566382
1048,2.3530688
1049,2.9111972
1050,2.9438007
1051,2.9730015
1052,2.944274
1053,2.9438007
1054,2.9730015
1055,0.68129694
1056,2.9705253
1057,2.94801
1058,2.949253
1059,2.4086847
1060,2.4086847
1061,2.9524667
1062,0.68129694
1063,2.938365
1064,2.5884757
1065,2.9614153
1066,0.68129694
1067,2.925756
1068,2.9025269
1069,2.4868803
1070,2.944274
1071,2.3530688
1072,2.9614153
1073,2.3218231
1074,2.944274
1075,2.9577556
1076,2.8713384
1077,2.9185352
1078,2.88169
1079,2.9515078
1080,2.9652314
1081,0.68129694
1082,2.2263184
1083,2.9438007
1084,2.9698906
1085,2.9698906
1086,2.9323516
1087,2.870744
1088,2.0675902
1089,2.949253
1090,2.9438007
1091,2.366343
1092,2.944274
1093,2.9537158
1094,0.68129694
1095,2.9377146
1096,2.9388165
1097,2.8583167
1098,2.9647555
1099,2.9641838
1100,2.9438007
1101,2.9262874
1102,2.9388165
1103,2.9677808
1104,2.949253
1105,0.68129694
1106,0.68129694
1107,0.68129694
1108,2.976592
1109,2.949253
1110,2.949253
1111,2.957182
1112,2.9244483
1113,0.68129694
1114,2.4868803
1115,2.4086847
1116,2.4086847
1117,2.4086847
1118,2.9817579
1119,2.3530688
1120,0.68129694
1121,2.1731224
1122,2.5566382
1123,2.9641838
1124,2.3530688
1125,2.938365
1126,2.881387
1127,2.9671679
1128,2.3530688
1129,2.938365
1130,2.9641838
1131,2.9369147
1132,2.9677808
1133,2.3530688
1134,2.8509674
1135,2.9323518
1136,2.9106336
1137,2.2969265
1138,2.9369147
1139,2.9641838
1140,2.1224706
1141,2.8713384
1142,2.944274
1143,2.949253
1144,2.3530688
1145,2.938365
1146,2.9537158
1147,2.938365
1148,2.4086847
1149,2.944274
1150,2.3530688
1151,2.9614153
1152,2.857665
1153,2.3530688
1154,2.4488564
1155,2.9262874
1156,2.4086847
1157,2.8509674
1158,2.2969265
1159,2.9698906
1160,2.944274
1161,2.8583167
1162,2.9317844
1163,2.366343
1164,2.5566382
1165,2.960857
1166,2.948688
1167,2.925756
1168,2.3530688
1169,2.9647555
1170,2.9438007
1171,0.68129694
1172,2.9251976
1173,2.7412527
1174,2.2263184
1175,2.949253
1176,2.944274
1177,2.949253
1178,2.4058876
1179,2.9438007
1180,2.9698906
1181,2.938365
1182,2.949253
1183,2.9837344
1184,2.9172606
1185,2.4488564
1186,2.925756
1187,0.68129694
1188,2.6726038
1189,2.944274
1190,2.9438007
1191,2.4086847
1192,2.948688
1193,0.68129694
1194,2.960857
1195,0.68129694
1196,2.9438007
1197,2.3530688
1198,2.8821263
1199,2.5884757
1200,2.9647555
1201,2.9577556
1202,2.4086847
1203,0.68129694
1204,0.68129694
1205,2.2969265
1206,2.5227919
1207,2.9438007
1208,0.68129694
1209,2.3530688
1210,2.4086847
1211,2.9647555
1212,0.68129694
1213,0.68129694
1214,2.8440485
1215,2.9179497
1216,2.4488564
1217,2.9807897
1218,0.68129694
1219,2.3530688
1220,2.960857
1221,2.9671679
1222,2.8713384
1223,2.944274
1224,2.944274
1225,2.4058876
1226,2.9388165
1227,2.949253
1228,2.957182
1229,2.9705253
1230,0.68129694
1231,2.944274
1232,2.949253
1233,2.944274
1234,2.2969265
1235,2.948688
1236,2.4058876
1237,2.2969265
1238,2.4488564
1239,2.5884757
1240,2.960857
1241,2.960857
1242,2.4488564
1243,2.9438007
1244,2.4868803
1245,2.9328368
1246,2.949253
1247,2.4868803
1248,2.9801757
1249,2.4058876
1250,0.68129694
1251,2.938365
1252,2.9807897
1253,2.9647555
1254,0.68129694
1255,2.5227919
1256,0.68129694
1257,2.2969265
1258,2.3218231
1259,2.4086847
1260,2.9900322
1261,2.4086847
1262,2.977304
1263,2.9438007
1264,2.9093041
1265,2.9537158
1266,2.4086847
1267,2.938365
1268,2.957182
1269,2.949253
1270,2.1224706
1271,2.4488564
1272,2.9531355
1273,2.9106336
1274,2.9705253
1275,2.4488564
1276,0.68129694
1277,2.960857
1278,2.8713384
1279,2.9837344
1280,0.68129694
1281,2.9251976
1282,2.857665
1283,2.2969265
1284,2.4086847
1285,2.2969265
1286,2.949253
1287,2.4058876
1288,2.9531355
1289,2.0108767
1290,2.4058876
1291,0.68129694
1292,2.9647555
1293,2.2969265
1294,2.4058876
1295,0.68129694
1296,2.948688
1297,2.9531355
1298,2.2969265
1299,2.9262874
1300,2.9471521
1301,2.9328368
1302,2.4086847
1303,2.9309633
1304,2.9577556
1305,2.9438007
1306,2.9388165
1307,0.68129694
1308,2.9377146
1309,0.68129694
1310,2.982323
1311,2.9652774
1312,0.68129694
1313,0.68129694
1314,2.2969265
1315,2.960857
1316,0.68129694
1317,2.2969265
1318,2.5227919
1319,2.9801757
1320,2.2969265
1321,2.3530688
1322,2.4868803
1323,2.9531355
1324,0.68129694
1325,2.5884757
1326,2.8713384
1327,2.2751334
1328,2.2751334
1329,2.9251976
1330,2.8713384
1331,2.944274
1332,2.9025269
1333,2.4086847
1334,2.4086847
1335,2.9730015
1336,0.68129694
1337,2.2751334
1338,2.972362
1339,0.68129694
1340,2.925756
1341,2.938365
1342,2.949253
1343,0.68129694
1344,2.987925
1345,0.68129694
1346,2.9671679
1347,2.3530688
1348,2.9614153
1349,2.9438007
1350,2.9323518
1351,2.2969265
1352,2.3530688
1353,2.9438007
1354,2.5566382
1355,2.949253
1356,2.5227919
1357,2.949253
1358,0.68129694
1359,2.5884757
1360,2.938365
1361,2.366343
1362,2.9752457
1363,2.5227919
1364,2.9244483
1365,2.9882913
1366,2.957182
1367,2.957182
1368,2.944274
1369,2.6183681
1370,2.4868803
1371,2.3530688
1372,2.938365
1373,0.68129694
1374,2.960857
1375,2.9317844
1376,2.9647555
1377,2.4058876
1378,2.881387
1379,2.8805456
1380,0.68129694
1381,0.68129694
1382,2.9600885
1383,2.4086847
1384,2.2374907
1385,2.5566382
1386,2.2969265
1387,0.68129694
1388,0.68129694
1389,2.948688
1390,0.68129694
1391,2.3530688
1392,2.0108767
1393,2.949253
1394,2.1731224
1395,0.68129694
1396,2.9577556
1397,2.0675902
1398,2.9251976
1399,2.9323518
1400,0.68129694
1401,2.4868803
1402,2.949253
1403,2.957182
1404,2.9791238
1405,2.9388165
1406,2.3530688
1407,2.4058876
1408,2.9647555
1409,2.2969265
1410,2.9647555
1411,2.9423137
1412,2.949253
1413,2.4488564
1414,2.366343
1415,2.949253
1416,2.881387
1417,2.1731224
1418,2.9438007
1419,2.925756
1420,2.4058876
1421,2.944274
1422,2.944274
1423,2.9537158
1424,0.68129694
1425,2.944274
1426,2.4868803
1427,0.68129694
1428,2.944274
1429,2.972362
1430,2.9850335
1431,2.949253
1432,2.2374907
1433,2.938365
1434,0.68129694
1435,2.9244483
1436,2.5227919
1437,2.9745653
1438,2.938365
1439,2.938365
1440,2.3530688
1441,2.3530688
1442,0.68129694
1443,2.2969265
1444,2.9577556
1445,2.9438007
1446,2.4488564
1447,2.9323518
1448,2.972362
1449,2.944274
1450,0.68129694
1451,2.4488564
1452,2.9705253
1453,2.2374907
1454,2.949253
1455,2.957182
1456,2.8583167
1457,2.9251976
1458,2.9705253
1459,0.68129694
1460,2.3530688
1461,2.959033
1462,2.2969265
1463,2.4086847
1464,2.948688
1465,2.9837344
1466,2.6183681
1467,2.9388165
1468,2.9377146
1469,2.3530688
1470,2.4868803
1471,2.4058876
1472,2.3530688
1473,2.3530688
1474,2.9663436
1475,0.68129694
1476,2.3530688
1477,2.9537158
1478,2.9671679
1479,2.9730015
1480,2.938365
1481,2.944274
1482,2.957182
1483,2.9577556
1484,2.4086847
1485,0.68129694
1486,2.949253
1487,0.68129694
1488,2.2969265
1489,2.949253
1490,2.9388165
1491,2.8583167
1492,2.9106336
1493,2.9438007
1494,2.9641838
1495,2.9179497
1496,2.9647555
1497,2.9745653
1498,2.4488564
1499,2.9671679
1500,2.9323518
1501,0.68129694
1502,0.68129694
1503,2.9705753
1504,2.948688
1505,2.8440485
1506,2.938365
1507,2.2969265
1508,0.68129694
1509,2.5566382
1510,2.2969265
1511,2.9185352
1512,2.9019914
1513,2.4058876
1514,0.68129694
1515,2.9647555
1516,2.9817579
1517,2.366343
1518,2.944274
1519,2.9801757
1520,2.972362
1521,0.68129694
1522,2.4086847
1523,2.938365
1524,2.9438007
1525,2.3530688
1526,2.9377146
1527,2.976592
1528,2.9323518
1529,2.9647555
1530,2.4488564
1531,2.8826704
1532,2.9817579
1533,2.9705253
1534,2.938365
1535,2.6183681
1536,2.938365
1537,2.9730015
1538,2.949253
1539,2.949253
1540,2.9730015
1541,2.938365
1542,0.68129694
1543,2.949253
1544,2.9309633
1545,2.949253
1546,2.944274
1547,0.68129694
1548,2.949253
1549,0.68129694
1550,2.9438007
1551,2.2969265
1552,2.9185352
1553,0.68129694
1554,2.9328368
1555,2.9869008
1556,2.4086847
1557,2.9323518
1558,2.9309633
1559,2.3530688
1560,2.9531355
1561,0.68129694
1562,2.3530688
1563,2.944274
1564,2.944274
1565,2.9647555
1566,2.8713384
1567,2.9317844
1568,2.3530688
1569,2.960857
1570,0.68129694
1571,2.949253
1572,2.949253
1573,2.944274
1574,2.9438007
1575,2.9647555
1576,2.4086847
1577,2.8821263
1578,2.9647555
1579,2.949253
1580,2.4868803
1581,2.949253
1582,0.68129694
1583,2.0108767
1584,2.3530688
1585,2.4058876
1586,0.68129694
1587,2.3530688
1588,0.68129694
1589,0.68129694
1590,2.9438007
1591,2.2969265
